"set","gene"
"gamma_minus_alpha_unfiltered","SOD2"
"gamma_minus_alpha_unfiltered","SPPL2A"
"gamma_minus_alpha_unfiltered","SRI"
"gamma_minus_alpha_unfiltered","SSPN"
"gamma_minus_alpha_unfiltered","ST3GAL5"
"gamma_minus_alpha_unfiltered","ST8SIA4"
"gamma_minus_alpha_unfiltered","STAT1"
"gamma_minus_alpha_unfiltered","STAT3"
"gamma_minus_alpha_unfiltered","STAT4"
"gamma_minus_alpha_unfiltered","TAPBP"
"gamma_minus_alpha_unfiltered","TMT1B"
"gamma_minus_alpha_unfiltered","TNFAIP2"
"gamma_minus_alpha_unfiltered","TNFAIP3"
"gamma_minus_alpha_unfiltered","TNFAIP6"
"gamma_minus_alpha_unfiltered","TNFSF10"
"gamma_minus_alpha_unfiltered","TOR1B"
"gamma_minus_alpha_unfiltered","UPP1"
"gamma_minus_alpha_unfiltered","VAMP5"
"gamma_minus_alpha_unfiltered","VAMP8"
"gamma_minus_alpha_unfiltered","VCAM1"
"gamma_minus_alpha_unfiltered","XAF1"
"gamma_minus_alpha_unfiltered","XCL1"
"gamma_minus_alpha_unfiltered","ZBP1"
"gamma_minus_alpha_unfiltered","ZNFX1"
"AxisB_excl_curated_overlaps","ADAR"
"AxisB_excl_curated_overlaps","B2M"
"AxisB_excl_curated_overlaps","BATF2"
"AxisB_excl_curated_overlaps","BST2"
"AxisB_excl_curated_overlaps","C1S"
"AxisB_excl_curated_overlaps","CASP1"
"AxisB_excl_curated_overlaps","CASP8"
"AxisB_excl_curated_overlaps","CCRL2"
"AxisB_excl_curated_overlaps","CD47"
"AxisB_excl_curated_overlaps","CD74"
"AxisB_excl_curated_overlaps","CMPK2"
"AxisB_excl_curated_overlaps","CMTR1"
"AxisB_excl_curated_overlaps","CNP"
"AxisB_excl_curated_overlaps","CSF1"
"AxisB_excl_curated_overlaps","CXCL10"
"AxisB_excl_curated_overlaps","CXCL11"
"AxisB_excl_curated_overlaps","DDX60"
"AxisB_excl_curated_overlaps","DHX58"
"AxisB_excl_curated_overlaps","EIF2AK2"
"AxisB_excl_curated_overlaps","ELF1"
"AxisB_excl_curated_overlaps","EPSTI1"
"AxisB_excl_curated_overlaps","GBP2"
"AxisB_excl_curated_overlaps","GBP4"
"AxisB_excl_curated_overlaps","GMPR"
"AxisB_excl_curated_overlaps","HELZ2"
"AxisB_excl_curated_overlaps","HERC6"
"AxisB_excl_curated_overlaps","HLA-C"
"AxisB_excl_curated_overlaps","IFI27"
"AxisB_excl_curated_overlaps","IFI30"
"AxisB_excl_curated_overlaps","IFI35"
"AxisB_excl_curated_overlaps","IFI44"
"AxisB_excl_curated_overlaps","IFI44L"
"AxisB_excl_curated_overlaps","IFIT2"
"AxisB_excl_curated_overlaps","IFIT3"
"AxisB_excl_curated_overlaps","IFITM1"
"AxisB_excl_curated_overlaps","IFITM2"
"AxisB_excl_curated_overlaps","IFITM3"
"AxisB_excl_curated_overlaps","IL15"
"AxisB_excl_curated_overlaps","IL4R"
"AxisB_excl_curated_overlaps","IL7"
"AxisB_excl_curated_overlaps","IRF1"
"AxisB_excl_curated_overlaps","IRF2"
"AxisB_excl_curated_overlaps","IRF7"
"AxisB_excl_curated_overlaps","ISG15"
"AxisB_excl_curated_overlaps","ISG20"
"AxisB_excl_curated_overlaps","LAMP3"
"AxisB_excl_curated_overlaps","LAP3"
"AxisB_excl_curated_overlaps","LGALS3BP"
"AxisB_excl_curated_overlaps","LPAR6"
"AxisB_excl_curated_overlaps","LY6E"
"AxisB_excl_curated_overlaps","MOV10"
"AxisB_excl_curated_overlaps","MVB12A"
"AxisB_excl_curated_overlaps","MX1"
"AxisB_excl_curated_overlaps","NCOA7"
"AxisB_excl_curated_overlaps","NMI"
"AxisB_excl_curated_overlaps","NUB1"
"AxisB_excl_curated_overlaps","OAS1"
"AxisB_excl_curated_overlaps","OASL"
"AxisB_excl_curated_overlaps","OGFR"
"AxisB_excl_curated_overlaps","PARP12"
"AxisB_excl_curated_overlaps","PARP14"
"AxisB_excl_curated_overlaps","PARP9"
"AxisB_excl_curated_overlaps","PLSCR1"
"AxisB_excl_curated_overlaps","PNPT1"
"AxisB_excl_curated_overlaps","PROCR"
"AxisB_excl_curated_overlaps","PSMA3"
"AxisB_excl_curated_overlaps","PSMB8"
"AxisB_excl_curated_overlaps","PSMB9"
"AxisB_excl_curated_overlaps","PSME1"
"AxisB_excl_curated_overlaps","PSME2"
"AxisB_excl_curated_overlaps","RIPK2"
"AxisB_excl_curated_overlaps","RNF31"
"AxisB_excl_curated_overlaps","RSAD2"
"AxisB_excl_curated_overlaps","RTP4"
"AxisB_excl_curated_overlaps","SAMD9"
"AxisB_excl_curated_overlaps","SAMD9L"
"AxisB_excl_curated_overlaps","SELL"
"AxisB_excl_curated_overlaps","SLC25A28"
"AxisB_excl_curated_overlaps","SP110"
"AxisB_excl_curated_overlaps","TAP1"
"AxisB_excl_curated_overlaps","TDRD7"
"AxisB_excl_curated_overlaps","TENT5A"
"AxisB_excl_curated_overlaps","TMEM140"
"AxisB_excl_curated_overlaps","TRAFD1"
"AxisB_excl_curated_overlaps","TRIM14"
"AxisB_excl_curated_overlaps","TRIM21"
"AxisB_excl_curated_overlaps","TRIM25"
